ID	Age	Height	Width	Sex	DomHand	DomFoot
5	88.0	22.4	8.4	B	L	R
10	87.0	23.4	8.8	B	L	L
12	87.0	22.5	9.7	B	R	R
1	88.0	23.2	9.8	B	L	R
2	89.3	17.4	6.9	B	L	R
3	88.0	23.7	9.7	B	R	R
2	88.0	24.1	9.6	B	L	R
6	88.0	21.0	8.8	G	L	R
5	88.0	21.6	9.3	G	R	R
9	88.0	20.9	8.8	B	R	L
9	87.0	25.5	9.8	B	R	R
3	88.0	22.8	8.9	B	L	R
8	87.0	24.1	15.5	B	L	R
3	88.0	25.0	9.8	B	L	R
11	87.0	24.0	9.3	G	L	R
4	88.0	21.7	7.9	G	R	R
12	87.0	22.0	8.7	G	R	L
3	88.0	22.7	8.8	G	R	R
6	88.0	24.7	9.0	G	L	L
3	88.0	23.5	9.5	G	R	R
6	88.0	22.0	9.2	B	R	R
7	88.0	22.4	8.6	B	L	R
9	88.0	22.0	8.3	G	R	L
9	88.0	22.5	9.0	G	L	R
10	88.0	22.2	8.1	G	L	R
7	88.0	25.1	9.4	B	L	R
2	88.0	24.1	9.5	G	L	R
12	87.0	23.5	9.5	B	R	R
11	88.0	22.2	8.9	B	L	R
8	88.0	21.9	9.3	B	R	L
6	88.0	22.0	9.3	G	L	R
7	88.0	20.5	8.6	G	R	R
3	88.0	22.5	8.6	G	L	R
4	89.0	27.9	11.0	B	R	L
4	88.0	22.7	8.6	B	R	L
3	88.0	20.9	4.5	G	L	R
3	89.3	17.4	6.97	G	L	R
1	88.0	19.6	7.9	G	R	R
9	88.0	22.6	8.8	G	L	R
